Date,Open,High,Low,Close
12/27/2025 00:00,87303.5,87469,87271,87423
12/26/2025 23:55,87347.8,87461,87286,87359.7
12/26/2025 23:50,87286.7,87498,87275,87295.8
12/26/2025 23:45,87289.7,87447,87262,87286.7
12/26/2025 23:40,87350,87495,87278,87357.4
12/26/2025 23:35,87520,87572,87332,87332
12/26/2025 23:30,87428.9,87556,87357,87514
12/26/2025 23:25,87473.3,87601,87386,87435.5
12/26/2025 23:20,87431.6,87568,87395,87404.2
12/26/2025 23:15,87418.9,87621,87399,87432
12/26/2025 23:10,87425.3,87581,87409,87418.9
12/26/2025 23:05,87431,87623,87407,87581
12/26/2025 23:00,87476.5,87637,87429.3,87493.8
12/26/2025 22:55,87371,87630,87364.7,87476.5
12/26/2025 22:50,87369.6,87596,87369.6,87522
12/26/2025 22:45,87337,87547,87251,87369.6
12/26/2025 22:40,87465.3,87564,87260,87337
12/26/2025 22:35,87402.9,87580,87372,87580
12/26/2025 22:30,87351.7,87612,87351.7,87466
12/26/2025 22:25,87398.9,87544,87337,87427.9
12/26/2025 22:20,87431.5,87620,87335,87340.3
12/26/2025 22:15,87451.2,87606,87394,87436
12/26/2025 22:10,87555,87677,87377,87547
12/26/2025 22:05,87498.2,87657,87443.1,87461.1
12/26/2025 22:00,87558,87615,87386,87509.3
12/26/2025 21:55,87449,87601,87322,87386
12/26/2025 21:50,87458,87645,87341,87449
12/26/2025 21:45,87481.5,87621,87421,87458
12/26/2025 21:40,87534.9,87630,87376,87430.1
12/26/2025 21:35,87434.7,87644,87413.2,87536.5
12/26/2025 21:30,87504,87653,87407.9,87483.6
12/26/2025 21:25,87501,87681,87474,87506.2
12/26/2025 21:20,87554.5,87735,87490,87499
12/26/2025 21:15,87579,87757,87550,87612.6
12/26/2025 21:10,87518,87748,87512.8,87748
12/26/2025 21:05,87588.4,87725,87476,87512.8
12/26/2025 21:00,87504,87792,87501.8,87588.4
12/26/2025 20:55,87604,87764,87492,87500
12/26/2025 20:50,87680.1,87850,87585,87671.3
12/26/2025 20:45,87613.4,87876,87471,87777
12/26/2025 20:40,87569,87779,87338,87779
12/26/2025 20:35,87531,87751,87493,87569
12/26/2025 20:30,87346,87708,87338,87531
12/26/2025 20:25,87525.3,87729,87338,87610.6
12/26/2025 20:20,87451.7,87702,87373,87525.3
12/26/2025 20:15,87460.5,87624,87336,87451.7
12/26/2025 20:10,87495.4,87616,87384,87460.5
12/26/2025 20:05,87427.4,87603,87323,87434.8
12/26/2025 20:00,87437.1,87660,87319,87364.3
12/26/2025 19:55,87476.7,87606,87347,87483.8
12/26/2025 19:50,87403.3,87593,87381,87476.7
12/26/2025 19:45,87565,87657,87387.9,87403.3
12/26/2025 19:40,87366.8,87566,87328,87394
12/26/2025 19:35,87400.1,87551,87326,87337
12/26/2025 19:30,87284,87508,87277,87401.4
12/26/2025 19:25,87429,87473,87272,87356.3
12/26/2025 19:20,87356.9,87487,87281,87335.4
12/26/2025 19:15,87396,87455,87159,87295.6
12/26/2025 19:10,87328.4,87455,87230,87300.7
12/26/2025 19:05,87254,87468,87202,87330
12/26/2025 19:00,87200.7,87431,87164,87254
12/26/2025 18:55,87224.8,87407,87175,87256
12/26/2025 18:50,87240.1,87438,87177,87298.2
12/26/2025 18:45,87138,87406,87057,87234
12/26/2025 18:40,87203.1,87377,87128,87210.8
12/26/2025 18:35,87271.7,87407,87130.6,87261.2
12/26/2025 18:30,87302,87378,87133,87202.7
12/26/2025 18:25,87284,87436,87133,87303
12/26/2025 18:20,87260,87457,87206,87348.8
12/26/2025 18:15,87418,87440,87197,87348.3
12/26/2025 18:10,87258,87467,87173,87418
12/26/2025 18:05,87197.6,87423,87155,87173
12/26/2025 18:00,87232.4,87454,87152,87257.2
12/26/2025 17:55,87245.2,87445,87194,87319.2
12/26/2025 17:50,87495,87532,87186,87245.2
12/26/2025 17:45,87309.1,87504,87269,87497
12/26/2025 17:40,87380,87543,87208,87447
12/26/2025 17:35,87162.4,87458,87113,87380
12/26/2025 17:30,87381,87499,87162.4,87162.4
12/26/2025 17:25,86975.3,87393,86966,87209
12/26/2025 17:20,87133,87149,86902,86975.3
12/26/2025 17:15,86904,87183,86902,86963
12/26/2025 17:10,86940,87102,86847,86973.9
12/26/2025 17:05,86919,87155,86914,86940
12/26/2025 17:00,86783,87082,86737,86999.9
12/26/2025 16:55,87301,87301,86770,86783
12/26/2025 16:50,87195,87346,87109,87214.2
12/26/2025 16:45,87203,87361,87115,87267.5
12/26/2025 16:40,87305.1,87439,87203,87206.1
12/26/2025 16:35,87267,87436,87128,87360
12/26/2025 16:30,87202,87383,87094,87128
12/26/2025 16:25,87224.2,87321,87064,87244.1
12/26/2025 16:20,87242,87377,87108.7,87290
12/26/2025 16:15,86934,87226,86934,87187.3
12/26/2025 16:10,87102,87193,86934,86934
12/26/2025 16:05,87208.8,87261,87014,87171
12/26/2025 16:00,87066,87289,87052,87195.8
12/26/2025 15:55,87003.8,87184,86930,87066
12/26/2025 15:50,87136.7,87142.8,86924,87003.5
12/26/2025 15:45,86916.7,87239,86901,87078
12/26/2025 15:40,87040,87040,86819,86925
