"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"SIS","SIS LIMITED","Closure of Buy Back","SIS LIMITED has informed the Exchange regarding the extinguishment of 37,12,871 fully paid-up equity shares of Rs. 5/- each bought back at Rs. 404/- per share through the tender offer route.","01-Jul-2025 22:08:17","2025-07-01 22:08:17","01-Jul-2025 22:08:18","00:00:01","https://nsearchives.nseindia.com/corporate/SIS_01072025220723_Intimation.pdf","2.26 MB"
"RPOWER","Reliance Power Limited","Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company","Reliance Power Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company","01-Jul-2025 22:00:32","2025-07-01 22:00:32","01-Jul-2025 22:00:34","00:00:02","https://nsearchives.nseindia.com/corporate/RPOWER_01072025215926_Disclosure_for_initiation_of_Arbitration_Proceedings.pdf","204 KB"
"KALPATARU","Kalpataru Limited","Updates","Kalpataru Limited has informed the Exchange regarding 'Disclosure Under Regulation 30(5) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.","01-Jul-2025 21:42:42","2025-07-01 21:42:42","01-Jul-2025 21:42:44","00:00:02","https://nsearchives.nseindia.com/corporate/9820411288_01072025214214_Disclosure_Under_Regulation_30_5__of_the_SEBI_LODR_Regulations.pdf","559 KB"
"KELLTONTEC","Kellton Tech Solutions Limited","Updates","Kellton Tech Solutions Limited has informed the Exchange regarding 'updare on Schedule Security Issuance Committee Meeting'.","01-Jul-2025 21:34:37","2025-07-01 21:34:37","01-Jul-2025 21:34:38","00:00:01","https://nsearchives.nseindia.com/corporate/KELLTONTEC_01072025213428_KTSL_SIC_04072025.pdf","701 KB"
"ZAGGLE","Zaggle Prepaid Ocean Services Limited","Bagging/Receiving of orders/contracts","Zaggle Prepaid Ocean Services Limited has informed the Exchange about Bagging/Receiving of orders/contracts","01-Jul-2025 21:30:29","2025-07-01 21:30:29","01-Jul-2025 21:30:30","00:00:01","https://nsearchives.nseindia.com/corporate/ZAGGLE_01072025213014_DTDC.pdf","723 KB"
"RITES","RITES Limited","Bagging/Receiving of orders/contracts","RITES Limited has informed the Exchange about receiving of major order from African Rail Company","01-Jul-2025 21:29:07","2025-07-01 21:29:07","01-Jul-2025 21:29:08","00:00:01","https://nsearchives.nseindia.com/corporate/RITES_01072025212853_MajorOrder_African.pdf","312 KB"
"BLACKBUCK","Zinka Logistics Solutions Limited","Updates","Zinka Logistics Solutions Limited has informed the Exchange regarding 'ntimation under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015'.","01-Jul-2025 21:25:41","2025-07-01 21:25:41","01-Jul-2025 21:25:42","00:00:01","https://nsearchives.nseindia.com/corporate/ZINKA2015_01072025212438_Disclosure_Reg_30.pdf","369 KB"
"RITES","RITES Limited","Bagging/Receiving of orders/contracts","RITES Limited has informed the Exchange about receiving of major order from South Western Railway","01-Jul-2025 21:17:50","2025-07-01 21:17:50","01-Jul-2025 21:17:51","00:00:01","https://nsearchives.nseindia.com/corporate/RITES_01072025211203_MajorOrder_Tumkuru.pdf","312 KB"
"INFY","Infosys Limited","Updates","Infosys Limited has informed the Exchange regarding 'Form 20-F and Press Release'.","01-Jul-2025 21:09:17","2025-07-01 21:09:17","01-Jul-2025 21:09:18","00:00:01","https://nsearchives.nseindia.com/corporate/Infosys_01072025210852_Form20F_July012025_1__1_.pdf","14.13 MB"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","Shareholders meeting","Alkyl Amines Chemicals Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 01, 2025","01-Jul-2025 21:06:00","2025-07-01 21:06:00","01-Jul-2025 21:06:00","00:00:00","https://nsearchives.nseindia.com/corporate/ALKYLAMINE_01072025210343_agmproceedings.pdf","1.53 MB"
"INFY","Infosys Limited","Updates","Infosys Limited has informed the Exchange regarding 'Form 20F and Press Release'.","01-Jul-2025 21:04:49","2025-07-01 21:04:49","01-Jul-2025 21:04:51","00:00:02","https://nsearchives.nseindia.com/corporate/Infosys_01072025210240_Form20F_July012025_1__1_.pdf","14.13 MB"
"NIITMTS","NIIT Learning Systems Limited","ESOP/ESOS/ESPS","Please find intimation about grant of stock options under NLSL Employee Stock Option Plan 2024.","01-Jul-2025 21:03:00","2025-07-01 21:03:00","01-Jul-2025 21:03:01","00:00:01","https://nsearchives.nseindia.com/corporate/NLSL_01072025210245_NLSLESOPGrantJuly12025.pdf","301 KB"
"EXICOM","Exicom Tele-Systems Limited","General Updates","Exicom Tele-Systems Limited has informed the Exchange about copy of letter of offer dated July 01, 2025 for Rights Issue","01-Jul-2025 20:58:30","2025-07-01 20:58:30","01-Jul-2025 20:58:31","00:00:01","https://nsearchives.nseindia.com/corporate/EXICOM_01072025205808_Final_Intimation_with_LOF_Merged.pdf","18.04 MB"
"ATUL","Atul Limited","Notice Of Shareholders Meetings-XBRL","ATUL LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 25-Jul-2025","01-Jul-2025 20:54:03","2025-07-01 20:54:03","01-Jul-2025 20:54:04","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1476113_01072025085402_WEB.xml","11 KB"
"CONTROLPR","Control Print Limited","Shareholders meeting","Result of Postal Ballot through e-Voting.","01-Jul-2025 20:52:24","2025-07-01 20:52:24","01-Jul-2025 20:52:24","00:00:00","https://nsearchives.nseindia.com/corporate/CONTROLPR_01072025204919_Letter_to_SE_Postal_ballot_sd.pdf","1.22 MB"
"ATUL","Atul Limited","General Updates","Atul Limited has informed the Exchange about General Updates on Communication to shareholders holding shares in physical mode regarding integrated annual report","01-Jul-2025 20:51:09","2025-07-01 20:51:09","01-Jul-2025 20:51:10","00:00:01","https://nsearchives.nseindia.com/corporate/ATUL1_01072025205047_Intimation_of_AGM_2025_AR_letter_to_shareholder.pdf","563 KB"
"DCBBANK","DCB Bank Limited","Credit Rating","DCB Bank Limited has informed the Exchange about Credit Rating","01-Jul-2025 20:49:58","2025-07-01 20:49:58","01-Jul-2025 20:49:59","00:00:01","https://nsearchives.nseindia.com/corporate/ujwal727_01072025204924_BSENSECARECreditRatingsJuly2025.pdf","426 KB"
"ATUL","Atul Limited","Updates","Atul Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report 2024-25'.","01-Jul-2025 20:42:15","2025-07-01 20:42:15","01-Jul-2025 20:42:16","00:00:01","https://nsearchives.nseindia.com/corporate/ATUL1_01072025204149_Intimation_of_AGM_2025_BRSR.pdf","934 KB"
"POLYCAB","Polycab India Limited","Updates","Polycab India Limited has informed the Exchange regarding 'combined voting results on remote e voting and e voting conducted at the 29th Annual General Meeting held on 01st July 2025'.","01-Jul-2025 20:37:40","2025-07-01 20:37:40","01-Jul-2025 20:37:41","00:00:01","https://nsearchives.nseindia.com/corporate/POLYCAB_01072025203659_VotingResults01072025.pdf","1.13 MB"
"TMB","Tamilnad Mercantile Bank Limited","Credit Rating","Tamilnad Mercantile Bank Limited has informed the Exchange about Credit Rating","01-Jul-2025 20:37:25","2025-07-01 20:37:25","01-Jul-2025 20:37:26","00:00:01","https://nsearchives.nseindia.com/corporate/9659523378_01072025203532_36.pdf","146 KB"
"EPACK","EPACK Durable Limited","General Updates","EPACK Durable Limited has informed the exchange regarding the approval of Postal Ballot Notice and change in objects of IPO of the Company as stated in the prospectus.","01-Jul-2025 20:36:18","2025-07-01 20:36:18","01-Jul-2025 20:36:20","00:00:02","https://nsearchives.nseindia.com/corporate/EPACKNSE_01072025203533_Outcome_of_BM.pdf","1.59 MB"
"EPACK","EPACK Durable Limited","Outcome of Board Meeting","Outcome of Board Meeting held on July 01, 2025.","01-Jul-2025 20:33:37","2025-07-01 20:33:37","01-Jul-2025 20:33:38","00:00:01","https://nsearchives.nseindia.com/corporate/EPACKNSE_01072025203306_Outcome_of_BM.pdf","1.59 MB"
"ATUL","Atul Limited","Shareholders meeting","Atul Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 25, 2025","01-Jul-2025 20:33:05","2025-07-01 20:33:05","01-Jul-2025 20:33:05","00:00:00","https://nsearchives.nseindia.com/corporate/ATUL1_01072025203219_Intimation_of_AGM_2025_Notice.pdf","298 KB"
"MEGASOFT","Megasoft Limited","General Updates","Megasoft Limited has informed the Exchange about General Updates-Disclosure pursuant to Regulation 30 of SEBI (LODR) Regulations, 2015","01-Jul-2025 20:23:01","2025-07-01 20:23:01","01-Jul-2025 20:23:02","00:00:01","https://nsearchives.nseindia.com/corporate/MEGASOFT_01072025202129_OutcomeoftheBMFinal.pdf","342 KB"
"MEGASOFT","Megasoft Limited","Outcome of Board Meeting","Megasoft Limited has informed the Exchange regarding Outcome of Board Meeting held on July 01, 2025.","01-Jul-2025 20:23:01","2025-07-01 20:23:01","01-Jul-2025 20:23:02","00:00:01","https://nsearchives.nseindia.com/corporate/MEGASOFT_01072025202118_OutcomeoftheBMFinal.pdf","342 KB"
"SAREGAMA","Saregama India Limited","General Updates","Saregama India Limited has informed the Exchange about Grant of Stock Options under Saregama Employee Stock Option Scheme 2013","01-Jul-2025 20:20:59","2025-07-01 20:20:59","01-Jul-2025 20:21:00","00:00:01","https://nsearchives.nseindia.com/corporate/SAREGAMA_01072025202048_ESOPIntimation.pdf","573 KB"
"VMART","V-Mart Retail Limited","Updates","V-Mart Retail Limited has informed the Exchange regarding 'Business Update at the end of Quarter 1 of Financial Year 2025-26'.","01-Jul-2025 20:20:56","2025-07-01 20:20:56","01-Jul-2025 20:20:57","00:00:01","https://nsearchives.nseindia.com/corporate/VMART_01072025201850_BusinessResultQ1FY26.pdf","455 KB"
"ELGIRUBCO","Elgi Rubber Company Limited","Notice Of Shareholders Meetings-XBRL","ELGI RUBBER COMPANY LIMITED has informed the Exchange about Notice of Shareholders Meeting for Postal Ballot","01-Jul-2025 20:17:17","2025-07-01 20:17:17","01-Jul-2025 20:17:18","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1476106_01072025081716_WEB.xml","4 KB"
"RAINBOW","Rainbow Childrens Medicare Limited","General Updates","Rainbow Childrens Medicare Limited has informed the Exchange about Updates on Acquisition.","01-Jul-2025 20:17:17","2025-07-01 20:17:17","01-Jul-2025 20:17:18","00:00:01","https://nsearchives.nseindia.com/corporate/RAINBOWUSER_01072025201646_UpdateonAcquisition.pdf","907 KB"
"SAREGAMA","Saregama India Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","SAREGAMA INDIA LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","01-Jul-2025 20:16:59","2025-07-01 20:16:59","01-Jul-2025 20:17:00","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58863_1476105_01072025081659_WEB.xml","4 KB"
"ELGIRUBCO","Elgi Rubber Company Limited","Shareholders meeting","Elgi Rubber Company Limited has informed the Exchange regarding Notice of Postal Ballot","01-Jul-2025 20:15:54","2025-07-01 20:15:54","01-Jul-2025 20:15:54","00:00:00","https://nsearchives.nseindia.com/corporate/ELGIRUBCO_01072025201543_ELGIRUBCO_POSTAL_BALLOT_SD.pdf","454 KB"
"SATIN","Satin Creditcare Network Limited","Alteration Of Capital and Fund Raising-XBRL","SATIN CREDITCARE NETWORK LIMITED has informed the Exchange regarding Issuance of securities","01-Jul-2025 20:15:44","2025-07-01 20:15:44","01-Jul-2025 20:15:45","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1476103_01072025081544_WEB.xml","11 KB"
"SAREGAMA","Saregama India Limited","Appointment","Saregama India Limited has informed the Exchange regarding Appointment of Mr Vinay Kumar Guwalani as Senior Vice President - Music Monetisation and Marketing in the category of Senior Management Personnel of the company w.e.f. July 01, 2025.","01-Jul-2025 20:15:05","2025-07-01 20:15:05","01-Jul-2025 20:15:06","00:00:01","https://nsearchives.nseindia.com/corporate/SAREGAMA_01072025201454_SMPAppointment.pdf","571 KB"
"GREENPOWER","Orient Green Power Company Limited","Shareholders meeting","Orient Green Power Company Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 30, 2025","01-Jul-2025 20:14:34","2025-07-01 20:14:34","01-Jul-2025 20:14:34","00:00:00","https://nsearchives.nseindia.com/corporate/GREENPOWER_01072025201138_SEIntimationSCR.pdf","6.45 MB"
"ARENTERP","Rajdarshan Industries Limited","Structural Digital Database","SDD compliance certificate for the quarter ended March 31, 2025 certified by Practising Company Secretaries.","01-Jul-2025 20:13:55","2025-07-01 20:13:55","01-Jul-2025 20:13:57","00:00:02","https://nsearchives.nseindia.com/corporate/ARENTERP_01072025201140_SDDRIL.pdf","1.09 MB"
